age,sex,race,priors_count,days_b_screening_arrest,c_charge_degree,decile_score,two_year_recid
20,Male,African-American,3,0,F,5,1
18,Male,Other,1,-1,M,8,0
46,Male,Caucasian,1,10,M,5,0
30,Male,Caucasian,2,-1,M,1,0
23,Female,African-American,1,8,M,10,0
43,Female,African-American,2,-14,F,3,1
18,Female,African-American,5,-4,M,8,0
29,Male,Hispanic,0,3,F,8,0
46,Male,Caucasian,2,2,M,1,1
19,Male,Caucasian,1,-6,F,2,0
30,Female,African-American,5,8,F,7,0
23,Female,Other,1,19,M,4,0
19,Female,Caucasian,0,10,M,6,1
18,Male,African-American,3,6,M,6,1
27,Female,African-American,3,-7,F,8,0
36,Male,African-American,0,2,M,5,1
33,Male,African-American,5,0,F,5,0
37,Male,Caucasian,0,3,F,3,0
32,Male,African-American,5,-8,M,5,0
27,Male,African-American,5,1,F,5,0
24,Male,Caucasian,0,-3,F,7,0
18,Male,African-American,0,-3,F,6,1
26,Male,African-American,0,0,M,6,1
26,Female,African-American,3,-10,M,8,1
35,Male,African-American,3,6,M,3,1
27,Male,Caucasian,0,2,F,3,0
33,Female,African-American,0,-1,M,2,1
35,Female,Caucasian,0,-9,M,3,1
18,Male,Caucasian,0,-8,F,4,1
31,Male,African-American,3,4,F,4,1
57,Male,Caucasian,1,-4,M,2,1
18,Male,African-American,3,-6,M,3,1
20,Male,African-American,2,-9,F,4,0
32,Female,Other,0,0,F,2,0
25,Male,Other,2,-6,M,4,0
18,Female,Caucasian,1,-4,F,1,0
27,Female,African-American,1,4,F,5,1
26,Female,African-American,2,-1,M,6,1
27,Male,Caucasian,4,-10,M,3,0
21,Female,African-American,3,-3,F,1,1
22,Male,African-American,1,0,F,8,0
18,Male,African-American,2,1,F,7,0
31,Male,African-American,2,9,F,4,0
33,Male,Hispanic,0,2,M,3,0
21,Male,African-American,9,0,F,4,1
31,Male,Caucasian,2,5,M,6,0
25,Male,African-American,6,3,F,7,1
36,Male,Caucasian,0,-18,F,3,1
29,Male,Caucasian,0,-5,M,6,0
18,Male,African-American,5,-1,M,1,1
